vehicle_id,timestamp,engine_temp_c,oil_pressure_psi,vibration_hz,rpm,failure_label
MH-12-AB-1000,2025-11-11 18:00:18.106021,88.6,39.86,11.85,1426,0
MH-12-AB-1000,2025-11-11 19:00:18.106021,85.91,39.74,14.21,2375,0
MH-12-AB-1000,2025-11-11 20:00:18.106021,84.7,41.78,12.5,3476,0
MH-12-AB-1000,2025-11-11 21:00:18.106021,84.93,38.91,11.19,1946,0
MH-12-AB-1000,2025-11-11 22:00:18.106021,85.6,41.33,13.82,2459,0
MH-12-AB-1000,2025-11-11 23:00:18.106021,85.98,38.81,16.31,2332,0
MH-12-AB-1000,2025-11-12 00:00:18.106021,83.5,39.96,13.19,2357,0
MH-12-AB-1000,2025-11-12 01:00:18.106021,83.82,40.1,16.05,1597,0
MH-12-AB-1000,2025-11-12 02:00:18.106021,84.69,40.03,12.94,1544,0
MH-12-AB-1000,2025-11-12 03:00:18.106021,86.61,39.34,14.27,2442,0
MH-12-AB-1000,2025-11-12 04:00:18.106021,84.39,39.89,14.88,2198,0
MH-12-AB-1000,2025-11-12 05:00:18.106021,84.5,39.68,13.85,2496,0
MH-12-AB-1000,2025-11-12 06:00:18.106021,84.9,39.84,14.31,1799,0
MH-12-AB-1000,2025-11-12 07:00:18.106021,85.89,40.85,17.8,2338,0
MH-12-AB-1000,2025-11-12 08:00:18.106021,84.9,39.41,13.09,2708,0
MH-12-AB-1000,2025-11-12 09:00:18.106021,85.72,40.32,17.27,3069,0
MH-12-AB-1000,2025-11-12 10:00:18.106021,83.02,41.62,12.71,2164,0
MH-12-AB-1000,2025-11-12 11:00:18.106021,82.61,39.82,14.45,2392,0
MH-12-AB-1000,2025-11-12 12:00:18.106021,85.83,39.37,15.36,3113,0
MH-12-AB-1000,2025-11-12 13:00:18.106021,85.6,39.68,15.58,2105,0
MH-12-AB-1000,2025-11-12 14:00:18.106021,83.48,39.83,15.91,2122,0
MH-12-AB-1000,2025-11-12 15:00:18.106021,81.86,39.31,15.44,2856,0
MH-12-AB-1000,2025-11-12 16:00:18.106021,86.99,41.01,12.06,2812,0
MH-12-AB-1000,2025-11-12 17:00:18.106021,87.68,42.51,15.31,1619,0
MH-12-AB-1000,2025-11-12 18:00:18.106021,84.73,39.78,16.48,3057,0
MH-12-AB-1000,2025-11-12 19:00:18.106021,86.08,39.75,9.46,3166,0
MH-12-AB-1000,2025-11-12 20:00:18.106021,87.43,42.37,10.93,2832,0
MH-12-AB-1000,2025-11-12 21:00:18.106021,85.58,38.02,15.31,2056,0
MH-12-AB-1000,2025-11-12 22:00:18.106021,87.19,40.56,16.01,2843,0
MH-12-AB-1000,2025-11-12 23:00:18.106021,84.52,40.2,13.18,1853,0
MH-12-AB-1000,2025-11-13 00:00:18.106021,87.39,39.69,18.19,2021,0
MH-12-AB-1000,2025-11-13 01:00:18.106021,86.21,41.05,12.91,3943,0
MH-12-AB-1000,2025-11-13 02:00:18.106021,86.97,41.75,17.23,2865,0
MH-12-AB-1000,2025-11-13 03:00:18.106021,83.58,40.65,16.82,2657,0
MH-12-AB-1000,2025-11-13 04:00:18.106021,83.51,40.23,16.48,2476,0
MH-12-AB-1000,2025-11-13 05:00:18.106021,82.55,40.39,15.26,2281,0
MH-12-AB-1000,2025-11-13 06:00:18.106021,85.6,39.28,13.47,1984,0
MH-12-AB-1000,2025-11-13 07:00:18.106021,81.23,40.22,11.99,2950,0
MH-12-AB-1000,2025-11-13 08:00:18.106021,85.31,38.82,15.98,2305,0
MH-12-AB-1000,2025-11-13 09:00:18.106021,83.77,40.28,15.62,1625,0
MH-12-AB-1000,2025-11-13 10:00:18.106021,83.59,40.06,18.52,2557,0
MH-12-AB-1000,2025-11-13 11:00:18.106021,84.95,39.89,16.27,1941,0
MH-12-AB-1000,2025-11-13 12:00:18.106021,84.84,39.24,16.03,2750,0
MH-12-AB-1000,2025-11-13 13:00:18.106021,86.0,38.66,12.41,2349,0
MH-12-AB-1000,2025-11-13 14:00:18.106021,82.74,41.32,13.27,2981,0
